frame_num,detection_result
87,"{0:((99,955),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((203,249),(37,37))}"
88,"{0:((98,950),(37,35)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((199,245),(39,36))}"
89,"{0:((96,939),(38,37)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((196,238),(41,37))}"
90,"{0:((94,932),(38,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((191,233),(41,38))}"
91,"{0:((93,926),(37,36)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((191,230),(40,36))}"
92,"{0:((92,919),(36,33)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((188,224),(41,38))}"
93,"{0:((92,910),(36,34)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((188,221),(39,35))}"
94,"{0:((88,901),(38,36)),1:((102,250),(34,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((184,215),(37,37))}"
95,"{0:((87,895),(35,34)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((181,210),(40,36))}"
96,"{0:((84,888),(37,34)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),5:((250,198),(39,36))}"
97,"{0:((86,881),(37,33)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),5:((249,202),(38,36))}"
98,"{0:((82,873),(36,33)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((175,215),(39,35)),5:((248,204),(41,38))}"
99,"{0:((82,865),(36,35)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((173,220),(37,37)),5:((246,207),(41,37))}"
100,"{0:((81,859),(35,33)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((147,269),(32,32)),4:((172,222),(39,36)),5:((247,210),(39,38))}"
101,"{0:((79,852),(35,35)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,33)),4:((172,226),(37,37)),5:((245,215),(41,38))}"
102,"{0:((77,845),(36,33)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(33,32)),4:((169,231),(39,36)),5:((243,220),(42,38))}"
103,"{0:((76,837),(36,34)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,271),(32,32)),4:((166,233),(42,39))}"
104,"{0:((75,831),(37,33)),2:((428,435),(45,41)),3:((147,270),(33,32)),4:((166,239),(40,36))}"
105,"{0:((73,823),(38,36)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((162,241),(39,36))}"
106,"{0:((74,818),(35,33)),2:((428,434),(45,42)),3:((146,271),(32,33))}"
107,"{0:((72,810),(36,34)),2:((428,434),(45,42))}"
108,"{0:((71,804),(36,34)),2:((428,434),(45,42))}"
109,"{0:((69,796),(38,36)),2:((428,434),(45,42))}"
110,"{0:((68,789),(38,37)),2:((428,434),(45,42))}"
111,"{0:((68,784),(36,34)),1:((102,251),(35,34)),2:((428,434),(45,42))}"
